model,experiment,within_f1,cross_f1,within_recall,cross_recall,within_precision,cross_precision,performance_drop,num_features
RandomForest,EXP0,0.786616623947272,0.2560613537630146,0.6697583787996882,0.2840425722849399,0.9528720337103572,0.2330986537838395,0.5305552701842574,8
RandomForest,EXP1,0.7693522173206409,0.2617064614066969,0.6456742010911926,0.4277689035662365,0.9516369902354967,0.1885213484568047,0.5076457559139439,8
RandomForest,EXP2,0.8041339471071396,0.1495519854740664,0.6943881527669524,0.2719995692517544,0.9550814751286448,0.1031268075261134,0.6545819616330731,8
RandomForest,EXP3,0.7928896991795806,0.0792191881833119,0.6779423226812159,0.1224401888113143,0.954774972557629,0.0585509037540553,0.7136705109962687,9
RandomForest,EXP4,0.7961270966862131,0.154108698846106,0.6825409197194077,0.1223683974370479,0.9550659832042752,0.2080815479460416,0.6420183978401071,10
RandomForest,EXP5,0.8246651591581144,0.1519109918597496,0.7390491036632891,0.1351472620564639,0.9327168994688176,0.1734223859972363,0.6727541672983648,23
LogisticRegression,EXP0,0.7416530356971038,0.3345143038443234,0.6007794232268121,0.3973832044079903,0.9688285570638512,0.2888207670232194,0.4071387318527804,8
LogisticRegression,EXP1,0.7387222569929228,0.2428462551098177,0.5979734996102883,0.2516287668036685,0.966125173151996,0.2346561333623445,0.495876001883105,8
LogisticRegression,EXP2,0.7770574971815107,0.0203819288491024,0.6446609508963367,0.0118096810668198,0.977890754315441,0.0743502824858757,0.7566755683324082,8
LogisticRegression,EXP3,0.7769425913746124,0.0181370318653215,0.6445050662509743,0.0103738535814921,0.9778855250709556,0.0720698254364089,0.7588055595092909,9
LogisticRegression,EXP4,0.8203857245854362,0.3105017766093936,0.7095089633671083,0.7536120035177774,0.9723349711600086,0.1955323131944379,0.5098839479760426,7
LogisticRegression,EXP5,0.760192818849394,0.2387547511312217,0.6575993764614185,0.2959419925695927,0.9007152770364044,0.2000897971070769,0.5214380677181724,23
SVM,EXP0,0.7749146518262171,0.3994668470368233,0.6457521434138738,0.5405890482258556,0.968665965158424,0.3167725379664297,0.3754478047893937,8
SVM,EXP1,0.7473374777119175,0.2312091841379938,0.6043647700701481,0.250677531094639,0.97891680343391,0.2145468509984639,0.5161282935739236,8
SVM,EXP2,0.788101666511498,0.0200880615490684,0.6597817614964926,0.0115045677261876,0.9783865002311604,0.0791162675882498,0.7680136049624295,8
SVM,EXP3,0.7883272828818766,0.0182548252125792,0.6600935307872174,0.0097097833695281,0.9783964879852126,0.1521800281293952,0.7700724576692973,9
SVM,EXP4,0.7896229485331722,0.0209791324586714,0.6618862042088854,0.0118096810668198,0.9784537389100126,0.0938391329150028,0.7686438160745007,10
SVM,EXP5,0.7617034671943158,0.21978036623397393,0.6600935307872174,0.29597788825672594,0.900287020304029,0.17478352110735446,0.5419231009603419,23
