feature,importance
bytes_per_sec,0.26250899556803375
byte_ratio,0.19198856783777563
fin_ratio,0.11812119741567736
data_pkt_ratio,0.08692686005214419
svc_http,0.08122930150665049
syn_ratio,0.055522214039880995
svc_system,0.04766233125363777
protocol_icmp,0.03864445589011355
svc_dynamic,0.02925590369621994
protocol_tcp,0.023134655961490766
rst_ratio,0.0216584030842476
duration,0.015302071315777379
protocol_udp,0.008011974790335824
svc_dns,0.005999914674864148
svc_smtp,0.005992165485140729
svc_ftp,0.004467135283952369
svc_user,0.00275793311680275
svc_telnet,0.0004939298783946346
svc_https,0.0002134430972594744
svc_ssh,0.00010854605160081116
svc_mysql,0.0
svc_rdp,0.0
svc_unknown,0.0
