feature,coefficient
syn_ratio,1.3740944768256917
svc_dynamic,0.8751367582278153
protocol_icmp,0.81363900764887
svc_http,-0.788105934406666
rst_ratio,0.7600611947298218
svc_smtp,-0.7075731505819367
protocol_udp,-0.6612252721248727
svc_https,0.46429608758002827
svc_ssh,0.4212082584968618
data_pkt_ratio,-0.3053633689363799
svc_telnet,-0.2537261662161517
svc_user,0.2355674173218651
svc_dns,-0.20519715807423167
svc_ftp,-0.18593568973312904
svc_system,0.15428410796840006
protocol_tcp,-0.14245920496561795
bytes_per_sec,0.10929350881573387
byte_ratio,-0.08186092365737214
duration,-0.07809802365651393
fin_ratio,0.052623784097849916
svc_mysql,0.0
svc_rdp,0.0
svc_unknown,0.0
